"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 경상남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"경상남도 거제시 거제면 동상리","616-1","0616","0001","동원리치빌","111.735","201201","11","12,000","1","2003","동상명진길 10",""
"경상남도 거제시 거제면 서정리","774-3","0774","0003","각산야우","84.9762","201209","26","17,880","7","2012","읍내로13길 46-1",""
"경상남도 거제시 거제면 서정리","745-1","0745","0001","한신계룡맨션","59.69","201201","6","8,000","3","1991","기성로1길 1",""
"경상남도 거제시 거제면 서정리","745-1","0745","0001","한신계룡맨션","59.69","201205","18","8,000","4","1991","기성로1길 1",""
"경상남도 거제시 거제면 서정리","745-1","0745","0001","한신계룡맨션","59.69","201207","20","9,000","3","1991","기성로1길 1",""
"경상남도 거제시 거제면 서정리","745-1","0745","0001","한신계룡맨션","75.46","201209","6","12,000","8","1991","기성로1길 1",""
"경상남도 거제시 거제면 서정리","745-1","0745","0001","한신계룡맨션","59.69","201210","10","9,000","9","1991","기성로1길 1",""
"경상남도 거제시 고현동","165-12","0165","0012","거원","59.96","201203","12","9,800","5","1994","거제중앙로11길 7",""
"경상남도 거제시 고현동","165-12","0165","0012","거원","58.72","201203","26","11,200","8","1994","거제중앙로11길 7",""
"경상남도 거제시 고현동","165-12","0165","0012","거원","59.96","201205","21","11,000","6","1994","거제중앙로11길 7",""
"경상남도 거제시 고현동","165-12","0165","0012","거원","106.96","201210","22","18,000","2","1994","거제중앙로11길 7",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201201","13","7,100","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201201","16","14,900","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201201","18","16,500","15","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201201","19","15,650","3","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201201","19","15,000","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201201","30","9,000","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201201","31","11,900","7","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201202","2","12,000","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201202","8","7,500","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201202","10","11,700","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","10","14,900","4","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201202","10","14,900","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201202","11","7,600","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","13","16,700","14","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","13","16,050","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201202","13","16,400","6","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","14","16,300","6","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","18","14,500","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201202","22","7,500","6","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201202","22","6,000","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201202","23","7,450","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201202","24","16,000","7","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","25","15,100","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201202","27","16,000","11","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201202","29","15,700","14","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201203","2","18,000","3","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201203","2","16,000","14","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201203","5","16,300","11","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201203","12","14,900","7","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201203","13","7,400","11","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201203","15","13,000","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201203","15","17,000","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201203","16","16,600","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201203","19","14,100","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201203","26","11,300","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201203","30","14,800","15","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201203","30","7,300","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","3","11,500","14","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","5","14,900","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","9","11,000","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","10","10,900","5","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","12","12,000","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","13","15,000","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201204","13","15,300","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201204","14","14,950","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201204","14","15,200","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","18","15,000","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","19","14,500","4","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","20","10,700","4","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","20","11,300","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201204","23","6,000","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201204","28","13,500","1","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201204","28","10,000","5","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201204","28","15,400","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201205","3","7,200","6","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201205","8","7,150","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201205","10","8,000","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","12","14,800","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.31","201205","15","15,000","2","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","16","15,150","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","17","14,750","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","27","201205","20","7,300","4","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201205","21","11,200","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","21","15,900","7","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","21","15,700","12","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","23","13,500","3","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","24","13,000","13","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","26","14,800","7","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201205","30","14,000","9","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","39.6","201206","4","8,500","10","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201206","6","14,000","8","2002","중곡2로 89",""
"경상남도 거제시 고현동","1062","1062","0000","거제2차덕산베스트타운","59.76","201206","9","14,400","14","2002","중곡2로 89",""
