"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대구광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대구광역시 남구 대명동","3022-1","3022","0001","강남골든하이츠","83.56","202102","8","12,000","2","2002","양지남길 28",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202101","27","29,000","4","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202102","24","18,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","5","29,000","10","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","20","30,000","5","1980","대명로 117",""
"대구광역시 남구 대명동","1635","1635","0000","개나리맨션","59.8","202103","31","31,300","8","1980","대명로 117",""
"대구광역시 남구 대명동","1733-3","1733","0003","경일맨션","69.75","202103","12","12,000","5","1977","현충로 190",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202102","22","31,000","5","2016","성당로 138",""
"대구광역시 남구 대명동","3046-1","3046","0001","골든뷰파크","84.8278","202102","22","31,000","5","2016","성당로 138","20210402"
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.3316","202102","27","47,000","2","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","76.244","202103","11","48,800","6","2017","이천로19길 81",""
"대구광역시 남구 대명동","3060","3060","0000","교대역 동서프라임36.5","84.3316","202104","19","50,000","10","2017","이천로19길 81",""
"대구광역시 남구 대명동","3051-12","3051","0012","금오맨션1동","60.975","202102","19","16,000","2","1982","두류공원로17길 39",""
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","202101","27","20,000","3","1991","대경길 222",""
"대구광역시 남구 대명동","3007-34","3007","0034","대명(3007-34)","84.98","202103","15","19,000","2","1991","대경길 222",""
"대구광역시 남구 대명동","2137-3","2137","0003","더테라스","83.5152","202104","2","34,000","5","2017","현충로 245",""
"대구광역시 남구 대명동","780-3","0780","0003","동신점보","84.8","202104","20","28,600","8","1979","대명로 177",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","72.78","202101","26","18,000","8","1992","현충서길 29",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","202102","25","22,000","3","1992","현충서길 29",""
"대구광역시 남구 대명동","1220-24","1220","0024","동아대덕","84.96","202103","22","22,500","7","1992","현충서길 29",""
"대구광역시 남구 대명동","1623-14","1623","0014","드림팰리스","83.9624","202101","18","30,500","6","2016","대명로 83",""
"대구광역시 남구 대명동","1623-14","1623","0014","드림팰리스","83.9624","202101","31","30,500","4","2016","대명로 83",""
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","110.97","202101","25","29,400","5","1988","중앙대로31길 28",""
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","110.97","202104","15","26,000","10","1988","중앙대로31길 28",""
"대구광역시 남구 대명동","181-1","0181","0001","백작맨션","110.97","202104","22","38,000","10","1988","중앙대로31길 28",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202101","16","20,000","10","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202103","1","29,000","13","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202104","8","26,300","3","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","84.99","202104","24","30,500","8","1998","큰골길 200",""
"대구광역시 남구 대명동","2680-17","2680","0017","보성청록타운","59.79","202104","30","19,000","10","1998","큰골길 200",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202101","16","9,000","5","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202101","31","8,700","5","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202102","6","11,000","1","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202103","11","8,700","5","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202103","24","13,500","2","1980","대명서로 17","20210430"
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202103","24","13,500","2","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202104","9","12,500","1","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202104","14","11,300","3","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202104","16","11,500","4","1980","대명서로 17",""
"대구광역시 남구 대명동","1721-29","1721","0029","삼두","42.525","202104","26","12,700","4","1980","대명서로 17",""
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202102","20","9,550","4","1983","앞산순환로 337","20210305"
"대구광역시 남구 대명동","1551-34","1551","0034","삼성공원","44.52","202102","20","9,550","4","1983","앞산순환로 337",""
"대구광역시 남구 대명동","1701-2","1701","0002","새한(1701-2)","73.19","202103","25","20,000","2","1979","대명로49길 38",""
"대구광역시 남구 대명동","329-13","0329","0013","세광","59.79","202102","6","22,500","12","1997","현충로26길 67",""
"대구광역시 남구 대명동","461-1","0461","0001","세신(461-1)","66.45","202102","4","12,800","1","1980","자유1길 86",""
"대구광역시 남구 대명동","1223-5","1223","0005","세종아파트","62.02","202102","4","25,000","2","1980","두류공원로 72",""
