"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20180101 ~ 20181231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 대전광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201801","27","5,000","1","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","73.55","201803","30","6,700","2","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201804","11","5,500","4","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201805","14","4,850","4","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","73.55","201807","6","7,800","1","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201807","9","5,800","3","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201807","16","4,800","4","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201810","1","6,300","2","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201810","2","5,400","4","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201810","12","4,500","5","1978","대전로 1247",""
"대전광역시 대덕구 대화동","27-7","0027","0007","금강","56.26","201811","20","5,500","1","1978","대전로 1247",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.9","201802","25","9,000","3","1985","대화로 19",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","72.675","201809","5","8,000","2","1985","대화로 19",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","62.085","201810","22","6,500","1","1985","대화로 19",""
"대전광역시 대덕구 대화동","16-2","0016","0002","금성백조","71.96","201812","8","8,800","4","1985","대화로 19",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201801","23","7,200","12","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201802","19","7,800","3","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201803","21","7,800","4","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201803","29","7,000","4","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201804","3","7,500","4","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201804","4","8,100","8","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3665","201804","6","6,500","12","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201804","10","6,200","13","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201805","15","6,500","9","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201805","17","7,200","13","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201805","22","7,800","10","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201806","18","6,150","14","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201806","25","6,600","14","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201806","28","6,500","1","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201806","28","6,700","1","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201806","29","6,450","9","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201806","30","6,500","7","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201807","12","6,400","9","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201807","13","6,500","12","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201807","30","6,860","2","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201807","30","6,860","4","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201808","3","6,180","1","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201809","30","7,000","5","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","35.8818","201810","6","7,600","7","2001","대화1길 77",""
"대전광역시 대덕구 대화동","31-36","0031","0036","두레","32.3658","201812","19","6,550","5","2001","대화1길 77",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201801","15","7,800","5","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","68.85","201802","7","9,200","3","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","54.18","201803","1","5,750","5","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","64.68","201804","7","8,700","1","1987","대화10길 72",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201804","23","11,200","2","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201806","7","9,000","4","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","53.82","201809","26","7,800","2","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201810","17","8,300","1","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","73.515","201810","30","9,400","1","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201812","10","11,000","2","1987","대화11길 11",""
"대전광역시 대덕구 대화동","16-5","0016","0005","세원풍남","71.82","201812","20","11,000","4","1987","대화11길 11",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201805","30","6,800","4","1990","동심1길 103",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201807","30","7,500","2","1990","동심1길 103",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201808","30","6,500","5","1990","동심1길 103",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201812","5","5,500","3","1990","동심1길 103",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201812","22","8,200","2","1990","동심1길 103",""
"대전광역시 대덕구 대화동","30-1","0030","0001","소라","60.855","201812","25","7,400","2","1990","동심1길 103",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201801","13","5,550","2","1983","대전로 1255",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201801","30","4,550","5","1983","대전로 1255",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201806","4","6,450","1","1983","대전로 1255",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201810","17","5,900","1","1983","대전로 1255",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","56.24","201810","17","5,200","4","1983","대전로 1255",""
"대전광역시 대덕구 대화동","16-163","0016","0163","신대화","55.34","201811","29","6,000","3","1983","대전로 1255",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201801","13","7,450","2","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201803","11","7,300","4","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","54.54","201805","12","4,900","1","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201810","30","8,600","1","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","54.54","201811","3","6,600","2","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201811","30","6,300","5","1986","생산5길 22",""
"대전광역시 대덕구 대화동","253","0253","0000","오광무지개","63.81","201812","26","7,000","3","1986","생산5길 22",""
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","201803","26","7,200","5","1986","동심5길 16",""
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","201805","29","8,400","3","1986","동심5길 16",""
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","62.01","201806","4","6,800","1","1986","동심5길 19",""
"대전광역시 대덕구 대화동","229-12","0229","0012","장미","63.36","201806","20","7,500","1","1986","동심5길 16",""
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","44.02","201804","5","4,100","1","1988","덕암로173번길 8",""
"대전광역시 대덕구 덕암동","62-18","0062","0018","금성백조","44.02","201808","2","4,600","1","1988","덕암로173번길 8",""
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201804","20","6,500","9","1998","덕암로265번길 81",""
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201805","15","5,750","3","1998","덕암로265번길 81",""
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201807","22","6,100","9","1998","덕암로265번길 81",""
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201812","10","6,100","11","1998","덕암로265번길 81",""
"대전광역시 대덕구 덕암동","3-7","0003","0007","덕암","41.87","201812","20","5,500","13","1998","덕암로265번길 81",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201803","7","14,300","11","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201803","23","16,500","8","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201804","17","12,800","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201810","22","16,500","14","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","21","13,732","6","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","21","13,874","13","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","13","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","8","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,166","3","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","4","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,322","4","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","7","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","7","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,874","8","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","9","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","8","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","9","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","11","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","11","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,732","14","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,685","1","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,968","2","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,968","2","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,968","2","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,166","3","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,166","3","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","11","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","11","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,897","2","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,322","4","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","13","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,874","14","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","13","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","10","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","10","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,874","10","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","12","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,685","1","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,968","2","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,166","3","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,166","3","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","4","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","4","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,732","6","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,732","6","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","14,015","10","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,874","9","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,557","1","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","12,685","1","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,449","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,322","5","2009","덕암로234번길 23",""
"대전광역시 대덕구 덕암동","46-2","0046","0002","리치빌","54.5087","201812","24","13,874","7","2009","덕암로234번길 23",""
