"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201201","5","30,800","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201201","12","30,800","5","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201201","13","32,300","12","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201201","16","28,500","14","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201201","19","29,200","12","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201201","26","27,000","8","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","114.49","201201","26","38,500","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201202","1","26,500","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201202","1","25,500","1","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201202","13","38,000","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","114.49","201202","17","38,000","7","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","201202","18","30,600","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201203","3","37,000","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201203","6","38,800","3","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","114.49","201203","14","34,800","8","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201203","14","29,750","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201203","27","34,600","11","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201203","29","26,600","6","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","201204","6","29,400","9","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201204","7","29,000","7","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","201204","10","28,950","11","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","114.49","201204","11","37,700","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201204","13","43,650","12","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.99","201204","20","29,700","8","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201204","24","25,500","11","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201204","27","26,300","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201205","2","34,700","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201205","3","30,700","3","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201205","7","36,000","14","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201205","17","34,000","13","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","149.87","201205","19","52,800","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201205","30","26,550","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201206","4","34,300","14","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201206","9","31,000","3","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201206","12","36,500","7","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201206","13","28,250","2","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201207","4","28,300","4","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201207","6","29,500","13","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.99","201207","14","23,500","4","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201207","23","28,300","6","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201208","13","32,000","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201208","14","32,000","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201208","14","28,000","5","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201208","20","32,200","5","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201208","20","36,500","3","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201208","29","30,000","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201209","19","40,500","7","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201210","2","32,000","12","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","133.77","201210","6","37,200","4","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201210","8","24,000","11","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201210","19","30,000","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201210","22","36,500","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","114.49","201210","25","33,200","3","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201210","30","32,400","15","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.99","201210","31","32,300","12","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201210","31","33,500","10","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201211","2","30,000","4","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","84.97","201211","3","24,800","6","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201211","8","32,500","7","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.96","201211","10","31,000","8","2008","명지오션시티2로 71",""
"부산광역시 강서구 명지동","3233","3233","0000","극동스타클래스","101.92","201211","11","30,000","5","2008","명지오션시티2로 71",""
