"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","5","220,000","3","1984","개포로 307",""
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","5","220,000","3","1984","개포로 307","20210201"
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","11","220,000","8","1984","개포로 307",""
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202101","25","145,000","6","1984","개포로 307",""
"서울특별시 강남구 개포동","652","0652","0000","개포우성3차","104.43","202102","9","145,000","6","1984","개포로 307","20210223"
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","202101","13","239,500","8","2004","개포로109길 69",""
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","134.3","202101","21","200,000","13","2004","개포로109길 69",""
"서울특별시 강남구 개포동","12-2","0012","0002","개포자이(12-2)","170.32","202101","30","270,000","19","2004","개포로109길 69",""
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","53.06","202101","1","178,000","3","1983","개포로 516",""
"서울특별시 강남구 개포동","185","0185","0000","개포주공 6단지","53.06","202102","1","200,000","12","1983","개포로 516",""
