"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20190101 ~ 20191231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 전라남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"전라남도 강진군 강진읍 남성리","219","0219","0000","탑동화인","59.95","201901","9","8,500","5","1995","영랑생가길 10-1",""
"전라남도 강진군 강진읍 남성리","26-4","0026","0004","탑클래스빌","82.5683","201904","30","15,500","9","2012","영랑로1길 26",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201902","10","10,300","1","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201906","24","15,000","9","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201910","14","16,700","4","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.952","201910","25","16,500","7","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","117.222","201911","4","20,800","2","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201911","19","14,400","5","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","59.988","201912","2","13,800","4","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","234","0234","0000","CNS후레쉬빌3차","84.98","201912","27","17,000","8","2005","서문길 29-9",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","201904","29","22,000","4","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","201907","17","23,500","8","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","201908","7","23,300","4","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","595","0595","0000","강진뉴캐슬아파트","84.87","201910","23","25,000","13","2018","탐진로 51",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201905","12","7,500","8","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","59.94","201908","8","9,000","7","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","58.98","201909","9","7,500","9","1995","고성길 3",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201911","14","3,500","3","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","67","0067","0000","건우1","35.19","201912","3","3,800","4","1995","고성길 2",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","201908","12","8,000","1","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","58-1","0058","0001","대동맨션","84.24","201910","11","6,700","2","1990","삼일로 42",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.9758","201902","19","13,900","2","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","80-1","0080","0001","대라수","59.6536","201910","17","15,000","4","2012","고성길 26-2",""
"전라남도 강진군 강진읍 서성리","167-3","0167","0003","미림","84.9453","201911","11","18,000","3","2013","서성4길 20",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201906","27","16,800","7","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201911","14","16,300","5","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","96-8","0096","0008","시엔에스후레쉬빌","84.969","201912","16","14,400","10","2001","서성1길 24",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201902","19","13,800","4","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201904","2","12,100","3","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","59.92","201910","10","12,500","3","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","97","0097","0000","씨앤에스2차","84.783","201912","17","16,200","8","2003","탐진로 60",""
"전라남도 강진군 강진읍 서성리","146-8","0146","0008","제일맨션","82.79","201912","11","7,000","1","1993","신성길 31",""
"전라남도 강진군 강진읍 서성리","146-8","0146","0008","제일맨션","84.89","201912","19","5,900","3","1993","신성길 31",""
"전라남도 강진군 강진읍 서성리","228-8","0228","0008","한성하이츠","82.87","201904","3","7,850","2","1990","서문길 8",""
"전라남도 강진군 강진읍 서성리","228-8","0228","0008","한성하이츠","82.87","201910","16","8,400","3","1990","서문길 8",""
"전라남도 강진군 강진읍 서성리","228-8","0228","0008","한성하이츠","82.87","201912","23","8,300","3","1990","서문길 8",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","58.665","201901","30","10,500","12","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","83.625","201903","14","13,000","15","1996","평동2길 31",""
"전라남도 강진군 강진읍 평동리","231-2","0231","0002","금호","83.625","201905","29","13,500","10","1996","평동2길 31",""
