"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20120101 ~ 20121231"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 제주특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","9","6,687","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","9","6,650","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","9","4,297","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","9","4,297","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","9","4,230","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","9","4,180","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","9","4,162","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","9","6,400","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","9","6,600","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","10","7,050","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","10","7,127","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","11","6,680","4","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","11","7,127","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","16","6,500","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","16","4,160","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,993","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,467","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,467","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,400","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,400","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,400","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,400","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,843","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,843","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,843","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,993","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,993","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","17","5,993","7","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","17","3,467","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","20.18","201207","19","6,000","9","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","19","7,127","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","23","3,934","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","23","3,934","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201207","23","3,934","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","23","6,300","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","23","6,300","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","23","6,300","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201207","23","6,300","6","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","20.18","201207","25","6,048","9","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201208","9","4,520","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201208","22","4,567","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201209","11","6,750","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","49.88","201209","13","13,900","9","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201210","2","6,000","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201210","25","6,700","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201210","30","6,729","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201210","31","6,790","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201211","8","6,578","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201211","23","6,400","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201211","28","4,360","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201211","28","6,400","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201211","28","6,500","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201211","28","6,400","2","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","49.25","201211","29","13,818","9","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","25.78","201212","5","6,500","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201212","13","3,800","8","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201212","18","3,630","5","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","158-3","0158","0003","윙스스카이","15.86","201212","18","3,520","3","2012","신서귀로51번길 29",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","62.9884","201204","9","9,800","4","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","55.2065","201204","30","7,725","4","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","62.9884","201204","30","8,945","5","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","62.9884","201204","30","8,370","1","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","55.2065","201204","30","7,835","4","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","55.2065","201204","30","7,915","5","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","62.9884","201204","30","8,855","2","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","62.9884","201204","30","8,720","2","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","55.2065","201204","30","7,525","1","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","165-5","0165","0005","한빛테크놀즈101동","55.2065","201204","30","7,645","1","2002","김정문화로27번길 13-3",""
"제주특별자치도 서귀포시 강정동","158-6","0158","0006","한빛테크놀즈105동","55.7309","201204","30","8,500","5","2000","김정문화로27번길 23-6",""
"제주특별자치도 서귀포시 남원읍 남원리","1323-2","1323","0002","에덴","40","201201","2","3,000","5","1996","남원광지로 5",""
"제주특별자치도 서귀포시 남원읍 남원리","1323-2","1323","0002","에덴","40","201201","2","3,200","4","1996","남원광지로 5",""
"제주특별자치도 서귀포시 남원읍 남원리","1323-2","1323","0002","에덴","40","201201","10","3,348","5","1996","남원광지로 5",""
"제주특별자치도 서귀포시 남원읍 남원리","1323-2","1323","0002","에덴","60","201201","10","4,000","5","1996","남원광지로 5",""
