"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1588-0149로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 20210101 ~ 20210430"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 충청남도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","층","건축년도","도로명","해제사유발생일"
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","57.77","202101","16","12,800","1","2002","서금암로 51-9",""
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","84.99","202102","8","21,000","6","2002","서금암4길 6-9",""
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","75.95","202102","18","20,300","6","2002","서금암4길 6-9",""
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","75.95","202103","27","18,700","11","2002","서금암로 51-9",""
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","57.77","202104","10","15,500","1","2002","서금암로 51-9",""
"충청남도 계룡시 금암동","69-1","0069","0001","계룡금암주공","84.99","202104","30","21,000","4","2002","서금암4길 6-9",""
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","39.05","202102","8","9,500","4","2015","서금암로 10",""
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","32.58","202104","7","7,500","4","2015","서금암로 10",""
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","32.58","202104","7","7,500","4","2015","서금암로 10",""
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","25.49","202104","19","5,200","3","2015","서금암로 10",""
"충청남도 계룡시 금암동","163-3","0163","0003","계룡한양아이클래스","25.49","202104","25","5,750","3","2015","서금암로 10",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202101","4","17,500","2","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202101","6","17,800","17","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","84.96","202101","16","26,000","3","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","84.96","202101","17","27,500","8","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","118.12","202101","26","35,000","7","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","118.12","202101","27","35,700","12","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","84.96","202102","9","27,700","6","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202102","16","17,000","1","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202102","22","18,300","12","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","84.96","202102","24","28,500","12","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202103","4","20,000","14","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","118.12","202103","6","38,000","6","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202103","9","18,000","9","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202103","10","18,900","10","2005","장안1길 9",""
"충청남도 계룡시 금암동","190","0190","0000","신성미소지움1차","59.97","202103","12","18,000","6","2005","장안1길 9",""
